location_id,year,month,context,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_or_more,total
76,2020,2,1,0,1,2,5,5,10,7,15,6,8,8,9,6,12,7,2,5,108
76,2020,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2020,2,3,0,0,0,0,1,5,3,2,0,0,0,1,0,2,2,1,0,17
76,2020,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2020,3,1,221,96,79,147,428,786,1285,1658,1725,1666,1860,1790,1632,1473,1174,868,1356,18282
76,2020,3,2,4,2,0,4,1,6,16,24,21,30,31,39,93,87,88,78,179,703
76,2020,3,3,78,42,25,32,77,187,361,563,573,601,668,718,790,741,600,509,791,7356
76,2020,3,4,1.8099547511312217,2.0833333333333335,0.0,2.7210884353741496,0.2336448598130841,0.7633587786259542,1.245136186770428,1.4475271411338964,1.2173913043478262,1.8007202881152462,1.6666666666666667,2.17877094972067,5.698529411764706,5.906313645621181,7.4957410562180575,8.986175115207374,13.200589970501476,3.8453123290668416
76,2020,4,1,806,389,416,708,2561,4842,7007,8698,8999,8793,8706,8422,7301,6813,5907,4807,8547,93782
76,2020,4,2,30,8,8,24,59,94,175,303,501,634,814,1067,1365,1567,1569,1425,2963,12608
76,2020,4,3,371,152,138,189,569,1122,1951,2929,3457,3743,4113,4289,4030,4077,3566,2985,5314,43000
76,2020,4,4,3.7220843672456576,2.056555269922879,1.9230769230769231,3.389830508474576,2.3037875829754,1.9413465510119785,2.4975024975024973,3.4835594389514832,5.567285253917102,7.210280905265552,9.349873650356077,12.66919971503206,18.696069031639503,23.000146778218113,26.561706449974608,29.64426877470356,34.66713466713467,13.44394446695528
76,2020,5,1,1662,1241,1567,2898,7400,10913,14166,15966,15913,15005,14727,14363,13193,12664,11544,9624,16745,179698
76,2020,5,2,95,38,45,66,126,222,383,700,1002,1328,1849,2567,3308,4065,4206,3984,8413,32402
76,2020,5,3,579,291,273,421,1068,1838,3149,4749,5600,6092,7038,7793,8180,8419,7786,6680,11829,81800
76,2020,5,4,5.7160048134777375,3.06204673650282,2.871729419272495,2.277432712215321,1.7027027027027026,2.034271052872721,2.7036566426655373,4.384316672929976,6.296738515679005,8.850383205598133,12.555170774767435,17.872310798579683,25.07390282725688,32.09886291850916,36.434511434511435,41.39650872817955,50.24186324275903,18.0313637324845
76,2020,6,1,2879,2328,2762,4810,10159,13348,15935,17232,16646,15375,14827,14138,13179,12013,10649,8528,15113,190213
76,2020,6,2,50,37,20,57,127,183,342,558,819,1100,1447,2110,2792,3423,3667,3490,7695,27922
76,2020,6,3,734,425,322,457,1143,1951,3084,4453,5227,6023,6748,7692,8075,8109,7693,6478,11802,80434
76,2020,6,4,1.736714136853074,1.5893470790378006,0.724112961622013,1.185031185031185,1.2501230436066542,1.3709919089002098,2.146219014747411,3.2381615598885793,4.920100925147183,7.154471544715447,9.759223039050381,14.92431744235394,21.185218908870173,28.494131357695828,34.435158230819795,40.92401500938087,50.91642956395157,14.679333168605721
76,2020,7,1,3260,2734,2929,5238,10165,12922,15131,16433,16035,14718,14678,14319,13424,12581,11089,9185,15799,201954
76,2020,7,2,55,32,26,51,97,181,333,559,804,1083,1528,2130,2922,3527,3795,3681,7889,28695
76,2020,7,3,890,566,345,553,1133,1922,3137,4716,5706,6163,7453,8454,9167,9300,8561,7447,13229,88758
